"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage,,,,,,,,
"[17, 257, 4369, 4096, 6911, 2158, 1279]",4369,4096,6911,0.14,,,,,,,,
"[17, 257, 4369, 4096, 6947, 5446, 3211]",4369,4096,6947,0.14,,,,,,,,
"[17, 257, 4369, 4096, 6959, 5136, 3023]",4369,4096,6959,0.14,,,,,,,,
"[17, 257, 4369, 4096, 6967, 4584, 2695]",4369,4096,6967,0.14,,,,,,,,
"[17, 257, 4369, 4096, 6971, 2592, 1523]",4369,4096,6971,0.14,,,,,,,,
"[17, 257, 4369, 4096, 6983, 6313, 3703]",4369,4096,6983,0.14,,,,,,,,
"[17, 257, 4369, 4096, 6991, 5105, 2991]",4369,4096,6991,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7019, 4063, 2371]",4369,4096,7019,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7027, 760, 443]",4369,4096,7027,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7039, 1978, 1151]",4369,4096,7039,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7043, 4916, 2859]",4369,4096,7043,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7079, 5349, 3095]",4369,4096,7079,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7103, 1885, 1087]",4369,4096,7103,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7127, 3520, 2023]",4369,4096,7127,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7151, 1367, 783]",4369,4096,7151,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7159, 2585, 1479]",4369,4096,7159,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7187, 6336, 3611]",4369,4096,7187,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7207, 1617, 919]",4369,4096,7207,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7211, 1132, 643]",4369,4096,7211,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7219, 6759, 3835]",4369,4096,7219,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7243, 6060, 3427]",4369,4096,7243,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7247, 4839, 2735]",4369,4096,7247,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7283, 3974, 2235]",4369,4096,7283,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7307, 5086, 2851]",4369,4096,7307,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7331, 3227, 1803]",4369,4096,7331,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7351, 472, 263]",4369,4096,7351,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7411, 5665, 3131]",4369,4096,7411,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7451, 2363, 1299]",4369,4096,7451,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7459, 4915, 2699]",4369,4096,7459,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7487, 1285, 703]",4369,4096,7487,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7499, 2056, 1123]",4369,4096,7499,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7507, 6970, 3803]",4369,4096,7507,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7523, 5780, 3147]",4369,4096,7523,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7547, 4575, 2483]",4369,4096,7547,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7559, 3881, 2103]",4369,4096,7559,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7583, 6811, 3679]",4369,4096,7583,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7591, 4787, 2583]",4369,4096,7591,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7603, 4505, 2427]",4369,4096,7603,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7607, 13, 7]",4369,4096,7607,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7639, 2818, 1511]",4369,4096,7639,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7643, 3021, 1619]",4369,4096,7643,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7687, 7550, 4023]",4369,4096,7687,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7691, 6555, 3491]",4369,4096,7691,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7699, 5825, 3099]",4369,4096,7699,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7703, 4647, 2471]",4369,4096,7703,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7723, 247, 131]",4369,4096,7723,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7727, 4254, 2255]",4369,4096,7727,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7759, 4211, 2223]",4369,4096,7759,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7823, 212, 111]",4369,4096,7823,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7867, 3171, 1651]",4369,4096,7867,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7879, 1460, 759]",4369,4096,7879,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7883, 3393, 1763]",4369,4096,7883,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7907, 3357, 1739]",4369,4096,7907,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7919, 29, 15]",4369,4096,7919,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7927, 1376, 711]",4369,4096,7927,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7951, 7918, 4079]",4369,4096,7951,0.14,,,,,,,,
"[17, 257, 4369, 4096, 7963, 1530, 787]",4369,4096,7963,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8011, 1195, 611]",4369,4096,8011,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8039, 6200, 3159]",4369,4096,8039,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8059, 3878, 1971]",4369,4096,8059,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8087, 77, 39]",4369,4096,8087,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8111, 3705, 1871]",4369,4096,8111,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8123, 6828, 3443]",4369,4096,8123,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8147, 181, 91]",4369,4096,8147,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8167, 1960, 983]",4369,4096,8167,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8171, 389, 195]",4369,4096,8171,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8179, 629, 315]",4369,4096,8179,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8191, 8189, 4095]",4369,4096,8191,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8219, 5175, 2579]",4369,4096,8219,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8231, 8020, 3991]",4369,4096,8231,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8243, 5657, 2811]",4369,4096,8243,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8263, 4888, 2423]",4369,4096,8263,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8287, 6019, 2975]",4369,4096,8287,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8291, 670, 331]",4369,4096,8291,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8311, 4819, 2375]",4369,4096,8311,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8363, 5233, 2563]",4369,4096,8363,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8387, 8344, 4075]",4369,4096,8387,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8419, 2522, 1227]",4369,4096,8419,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8423, 1495, 727]",4369,4096,8423,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8431, 7408, 3599]",4369,4096,8431,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8443, 5382, 2611]",4369,4096,8443,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8447, 7917, 3839]",4369,4096,8447,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8467, 585, 283]",4369,4096,8467,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8527, 3029, 1455]",4369,4096,8527,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8539, 3642, 1747]",4369,4096,8539,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8543, 5671, 2719]",4369,4096,8543,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8563, 6278, 3003]",4369,4096,8563,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8599, 7606, 3623]",4369,4096,8599,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8623, 2861, 1359]",4369,4096,8623,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8627, 2955, 1403]",4369,4096,8627,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8647, 8628, 4087]",4369,4096,8647,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8663, 1030, 487]",4369,4096,8663,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8699, 652, 307]",4369,4096,8699,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8707, 4717, 2219]",4369,4096,8707,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8719, 7048, 3311]",4369,4096,8719,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8731, 4406, 2067]",4369,4096,8731,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8747, 6840, 3203]",4369,4096,8747,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8779, 4053, 1891]",4369,4096,8779,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8783, 2571, 1199]",4369,4096,8783,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8803, 8414, 3915]",4369,4096,8803,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8807, 5141, 2391]",4369,4096,8807,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8819, 1505, 699]",4369,4096,8819,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8831, 7449, 3455]",4369,4096,8831,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8839, 1776, 823]",4369,4096,8839,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8863, 5191, 2399]",4369,4096,8863,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8867, 578, 267]",4369,4096,8867,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8887, 6125, 2823]",4369,4096,8887,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8923, 5200, 2387]",4369,4096,8923,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8951, 8267, 3783]",4369,4096,8951,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8963, 8777, 4011]",4369,4096,8963,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8971, 357, 163]",4369,4096,8971,0.14,,,,,,,,
"[17, 257, 4369, 4096, 8999, 7081, 3223]",4369,4096,8999,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9007, 2144, 975]",4369,4096,9007,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9011, 9000, 4091]",4369,4096,9011,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9043, 5005, 2267]",4369,4096,9043,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9059, 3563, 1611]",4369,4096,9059,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9067, 715, 323]",4369,4096,9067,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9091, 1800, 811]",4369,4096,9091,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9103, 6505, 2927]",4369,4096,9103,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9127, 2333, 1047]",4369,4096,9127,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9151, 7004, 3135]",4369,4096,9151,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9187, 5623, 2507]",4369,4096,9187,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9199, 6358, 2831]",4369,4096,9199,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9203, 7610, 3387]",4369,4096,9203,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9227, 4404, 1955]",4369,4096,9227,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9239, 2109, 935]",4369,4096,9239,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9283, 4884, 2155]",4369,4096,9283,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9311, 4435, 1951]",4369,4096,9311,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9319, 4275, 1879]",4369,4096,9319,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9323, 4814, 2115]",4369,4096,9323,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9343, 6713, 2943]",4369,4096,9343,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9371, 922, 403]",4369,4096,9371,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9391, 1355, 591]",4369,4096,9391,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9403, 264, 115]",4369,4096,9403,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9419, 522, 227]",4369,4096,9419,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9431, 8784, 3815]",4369,4096,9431,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9439, 4201, 1823]",4369,4096,9439,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9463, 7557, 3271]",4369,4096,9463,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9467, 3668, 1587]",4369,4096,9467,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9479, 5163, 2231]",4369,4096,9479,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9491, 7774, 3355]",4369,4096,9491,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9511, 6295, 2711]",4369,4096,9511,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9539, 9192, 3947]",4369,4096,9539,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9547, 7391, 3171]",4369,4096,9547,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9551, 1005, 431]",4369,4096,9551,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9587, 4632, 1979]",4369,4096,9587,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9619, 364, 155]",4369,4096,9619,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9623, 6106, 2599]",4369,4096,9623,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9631, 3835, 1631]",4369,4096,9631,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9643, 7842, 3331]",4369,4096,9643,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9679, 716, 303]",4369,4096,9679,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9719, 7154, 3015]",4369,4096,9719,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9739, 3431, 1443]",4369,4096,9739,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9743, 5440, 2287]",4369,4096,9743,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9767, 5854, 2455]",4369,4096,9767,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9787, 1804, 755]",4369,4096,9787,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9791, 5964, 2495]",4369,4096,9791,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9803, 2075, 867]",4369,4096,9803,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9811, 8496, 3547]",4369,4096,9811,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9839, 5263, 2191]",4369,4096,9839,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9851, 5356, 2227]",4369,4096,9851,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9859, 5033, 2091]",4369,4096,9859,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9871, 5203, 2159]",4369,4096,9871,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9883, 9620, 3987]",4369,4096,9883,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9887, 3319, 1375]",4369,4096,9887,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9907, 5251, 2171]",4369,4096,9907,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9923, 6151, 2539]",4369,4096,9923,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9931, 9240, 3811]",4369,4096,9931,0.14,,,,,,,,
"[17, 257, 4369, 4096, 9967, 5020, 2063]",4369,4096,9967,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10007, 408, 167]",4369,4096,10007,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10039, 9115, 3719]",4369,4096,10039,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10067, 3055, 1243]",4369,4096,10067,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10079, 2911, 1183]",4369,4096,10079,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10091, 8364, 3395]",4369,4096,10091,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10099, 3617, 1467]",4369,4096,10099,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10103, 1438, 583]",4369,4096,10103,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10111, 5369, 2175]",4369,4096,10111,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10139, 4166, 1683]",4369,4096,10139,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10151, 57, 23]",4369,4096,10151,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10159, 9720, 3919]",4369,4096,10159,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10163, 9833, 3963]",4369,4096,10163,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10211, 3697, 1483]",4369,4096,10211,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10223, 4510, 1807]",4369,4096,10223,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10243, 1708, 683]",4369,4096,10243,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10247, 3660, 1463]",4369,4096,10247,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10259, 1350, 539]",4369,4096,10259,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10267, 1331, 531]",4369,4096,10267,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10271, 2485, 991]",4369,4096,10271,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10303, 4988, 1983]",4369,4096,10303,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10331, 5052, 2003]",4369,4096,10331,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10343, 2159, 855]",4369,4096,10343,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10391, 4645, 1831]",4369,4096,10391,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10399, 2191, 863]",4369,4096,10399,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10427, 8113, 3187]",4369,4096,10427,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10459, 2173, 851]",4369,4096,10459,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10463, 2041, 799]",4369,4096,10463,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10487, 5753, 2247]",4369,4096,10487,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10499, 6344, 2475]",4369,4096,10499,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10531, 9572, 3723]",4369,4096,10531,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10559, 4452, 1727]",4369,4096,10559,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10567, 307, 119]",4369,4096,10567,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10607, 3685, 1423]",4369,4096,10607,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10627, 8746, 3371]",4369,4096,10627,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10631, 8116, 3127]",4369,4096,10631,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10639, 3613, 1391]",4369,4096,10639,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10651, 3045, 1171]",4369,4096,10651,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10663, 9390, 3607]",4369,4096,10663,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10667, 6008, 2307]",4369,4096,10667,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10687, 4172, 1599]",4369,4096,10687,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10691, 9968, 3819]",4369,4096,10691,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10711, 6629, 2535]",4369,4096,10711,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10723, 2542, 971]",4369,4096,10723,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10739, 4853, 1851]",4369,4096,10739,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10771, 71, 27]",4369,4096,10771,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10799, 8645, 3279]",4369,4096,10799,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10831, 8586, 3247]",4369,4096,10831,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10847, 1099, 415]",4369,4096,10847,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10859, 1535, 579]",4369,4096,10859,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10867, 7288, 2747]",4369,4096,10867,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10883, 2835, 1067]",4369,4096,10883,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10891, 8942, 3363]",4369,4096,10891,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10903, 3511, 1319]",4369,4096,10903,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10939, 7144, 2675]",4369,4096,10939,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10979, 7406, 2763]",4369,4096,10979,0.14,,,,,,,,
"[17, 257, 4369, 4096, 10987, 9450, 3523]",4369,4096,10987,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11003, 137, 51]",4369,4096,11003,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11027, 4897, 1819]",4369,4096,11027,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11047, 3169, 1175]",4369,4096,11047,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11059, 5516, 2043]",4369,4096,11059,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11071, 3284, 1215]",4369,4096,11071,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11083, 4424, 1635]",4369,4096,11083,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11087, 8096, 2991]",4369,4096,11087,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11119, 2473, 911]",4369,4096,11119,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11131, 8139, 2995]",4369,4096,11131,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11159, 2896, 1063]",4369,4096,11159,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11171, 30, 11]",4369,4096,11171,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11239, 5507, 2007]",4369,4096,11239,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11243, 3346, 1219]",4369,4096,11243,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11251, 3678, 1339]",4369,4096,11251,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11279, 2068, 751]",4369,4096,11279,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11287, 8220, 2983]",4369,4096,11287,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11299, 2502, 907]",4369,4096,11299,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11311, 7641, 2767]",4369,4096,11311,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11351, 10927, 3943]",4369,4096,11351,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11383, 9446, 3399]",4369,4096,11383,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11399, 6565, 2359]",4369,4096,11399,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11411, 1145, 411]",4369,4096,11411,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11423, 10974, 3935]",4369,4096,11423,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11443, 1774, 635]",4369,4096,11443,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11447, 735, 263]",4369,4096,11447,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11467, 6369, 2275]",4369,4096,11467,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11471, 7301, 2607]",4369,4096,11471,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11483, 10998, 3923]",4369,4096,11483,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11491, 6315, 2251]",4369,4096,11491,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11503, 1480, 527]",4369,4096,11503,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11519, 2157, 767]",4369,4096,11519,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11527, 515, 183]",4369,4096,11527,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11551, 10736, 3807]",4369,4096,11551,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11579, 2858, 1011]",4369,4096,11579,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11587, 5372, 1899]",4369,4096,11587,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11699, 6932, 2427]",4369,4096,11699,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11719, 2904, 1015]",4369,4096,11719,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11731, 1727, 603]",4369,4096,11731,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11743, 10364, 3615]",4369,4096,11743,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11779, 9326, 3243]",4369,4096,11779,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11783, 11573, 4023]",4369,4096,11783,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11807, 10236, 3551]",4369,4096,11807,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11827, 9595, 3323]",4369,4096,11827,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11831, 5566, 1927]",4369,4096,11831,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11839, 1292, 447]",4369,4096,11839,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11863, 9937, 3431]",4369,4096,11863,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11867, 1353, 467]",4369,4096,11867,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11887, 415, 143]",4369,4096,11887,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11903, 1113, 383]",4369,4096,11903,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11923, 11629, 3995]",4369,4096,11923,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11927, 859, 295]",4369,4096,11927,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11939, 3763, 1291]",4369,4096,11939,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11959, 11232, 3847]",4369,4096,11959,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11971, 1435, 491]",4369,4096,11971,0.14,,,,,,,,
"[17, 257, 4369, 4096, 11987, 7009, 2395]",4369,4096,11987,0.14,,,,,,,,
"[17, 257, 4369, 4096, 12007, 3632, 1239]",4369,4096,12007,0.14,,,,,,,,
"[17, 257, 4369, 4096, 12011, 7328, 2499]",4369,4096,12011,0.14,,,,,,,,
"[17, 257, 4369, 4096, 12043, 3490, 1187]",4369,4096,12043,0.14,,,,,,,,
"[17, 257, 4369, 4096, 12071, 445, 151]",4369,4096,12071,0.14,,,,,,,,
"[17, 257, 4369, 4096, 12107, 1806, 611]",4369,4096,12107,0.14,,,,,,,,
"[17, 257, 4369, 4096, 12119, 9394, 3175]",4369,4096,12119,0.14,,,,,,,,
"[17, 257, 4369, 4096, 12143, 11808, 3983]",4369,4096,12143,0.14,,,,,,,,
